"datetime","machineID","failure"
2020-01-05 06:00:00,1,"comp4"
2020-03-06 06:00:00,1,"comp1"
2020-04-20 06:00:00,1,"comp2"
2020-06-19 06:00:00,1,"comp4"
2020-09-02 06:00:00,1,"comp4"
2020-10-17 06:00:00,1,"comp2"
2020-12-16 06:00:00,1,"comp4"
2020-03-19 06:00:00,2,"comp1"
2020-03-19 06:00:00,2,"comp2"
2020-04-18 06:00:00,2,"comp2"
2020-12-29 06:00:00,2,"comp2"
2020-01-07 06:00:00,3,"comp2"
2020-02-06 06:00:00,3,"comp1"
2020-07-21 06:00:00,3,"comp2"
2020-10-04 06:00:00,3,"comp2"
2020-12-03 06:00:00,3,"comp2"
2020-01-17 06:00:00,4,"comp2"
2020-02-16 06:00:00,4,"comp1"
2020-04-02 06:00:00,4,"comp2"
2020-07-16 06:00:00,4,"comp2"
2020-08-30 06:00:00,4,"comp1"
2020-10-14 06:00:00,4,"comp2"
2020-01-09 06:00:00,5,"comp2"
2020-02-23 06:00:00,5,"comp1"
2020-04-09 06:00:00,5,"comp1"
2020-06-23 06:00:00,5,"comp2"
2020-09-06 06:00:00,5,"comp1"
2020-10-06 06:00:00,5,"comp2"
2020-11-20 06:00:00,5,"comp1"
2020-01-24 06:00:00,7,"comp2"
2020-01-24 06:00:00,7,"comp4"
2020-02-08 06:00:00,7,"comp1"
2020-04-24 06:00:00,7,"comp1"
2020-05-09 06:00:00,7,"comp4"
2020-05-24 06:00:00,7,"comp2"
2020-07-08 06:00:00,7,"comp2"
2020-09-21 06:00:00,7,"comp4"
2020-10-21 06:00:00,7,"comp2"
2020-12-20 06:00:00,7,"comp1"
2020-03-07 06:00:00,8,"comp2"
2020-03-22 06:00:00,8,"comp4"
2020-04-21 06:00:00,8,"comp2"
2020-08-04 06:00:00,8,"comp4"
2020-10-18 06:00:00,8,"comp4"
2020-03-04 06:00:00,9,"comp1"
2020-06-17 06:00:00,9,"comp2"
2020-07-02 06:00:00,9,"comp1"
2020-07-17 06:00:00,9,"comp2"
2020-08-31 06:00:00,9,"comp2"
2020-09-15 06:00:00,9,"comp1"
2020-10-15 06:00:00,9,"comp2"
2020-11-14 06:00:00,9,"comp1"
2020-12-14 06:00:00,9,"comp2"
2020-01-19 06:00:00,10,"comp2"
2020-04-04 06:00:00,10,"comp2"
2020-05-19 06:00:00,10,"comp2"
2020-06-03 06:00:00,10,"comp1"
2020-06-18 06:00:00,10,"comp2"
2020-01-20 06:00:00,11,"comp2"
2020-02-19 06:00:00,11,"comp3"
2020-04-20 06:00:00,11,"comp2"
2020-04-20 06:00:00,11,"comp3"
2020-10-02 06:00:00,11,"comp3"
2020-12-16 06:00:00,11,"comp3"
2020-01-07 06:00:00,12,"comp1"
2020-01-07 06:00:00,12,"comp2"
2020-03-23 06:00:00,12,"comp2"
2020-07-06 06:00:00,12,"comp1"
2020-09-04 06:00:00,12,"comp1"
2020-10-04 06:00:00,12,"comp2"
2020-04-11 06:00:00,13,"comp3"
2020-04-11 06:00:00,13,"comp4"
2020-06-10 06:00:00,13,"comp3"
2020-06-25 06:00:00,13,"comp4"
2020-07-10 06:00:00,13,"comp2"
2020-08-09 06:00:00,13,"comp2"
2020-08-24 06:00:00,13,"comp1"
2020-08-24 06:00:00,13,"comp3"
2020-09-23 06:00:00,13,"comp4"
2020-10-23 06:00:00,13,"comp1"
2020-12-07 06:00:00,13,"comp4"
2020-12-22 06:00:00,13,"comp1"
2020-12-22 06:00:00,13,"comp2"
2020-01-31 06:00:00,14,"comp2"
2020-03-02 06:00:00,14,"comp1"
2020-07-15 06:00:00,14,"comp1"
2020-07-30 06:00:00,14,"comp2"
2020-01-20 06:00:00,15,"comp2"
2020-01-20 06:00:00,15,"comp4"
2020-06-04 06:00:00,15,"comp1"
2020-08-03 06:00:00,15,"comp1"
2020-11-01 06:00:00,15,"comp2"
2020-11-01 06:00:00,15,"comp4"
2020-12-31 06:00:00,15,"comp4"
2020-01-02 03:00:00,16,"comp1"
2020-01-02 03:00:00,16,"comp3"
2020-01-17 06:00:00,16,"comp1"
2020-03-03 06:00:00,16,"comp3"
2020-04-02 06:00:00,16,"comp1"
2020-05-17 06:00:00,16,"comp3"
2020-06-01 06:00:00,16,"comp2"
2020-06-16 06:00:00,16,"comp1"
2020-07-01 06:00:00,16,"comp2"
2020-07-01 06:00:00,16,"comp3"
2020-08-15 06:00:00,16,"comp3"
2020-10-14 06:00:00,16,"comp3"
2020-11-28 06:00:00,16,"comp2"
2020-01-02 03:00:00,17,"comp4"
